0,0,0
1272,1242,-22
-3633,105,3
18,-1194,-140
-1223,44,-1273
-1158,2462,-100
-1124,1192,7
-1178,-55,-52
62,1297,-2441
1259,-2443,-1243
1305,-3576,-1209
-44,2438,-165
-1196,1305,1128
2528,-1193,-2405
108,1274,1071
-1103,1323,2263
1263,-2318,-2489
63,-12,-2405
-1102,2391,-1185
133,1264,-1169
-6,2479,-3733
-37,2495,-2536
1239,1259,-1314
-1188,-1232,-6
-2326,1285,-1347
-47,2439,-1205
1225,-1243,-2412
2379,1264,-66
1257,102,-1219
-2283,40,1145
1329,-1221,-1292
-2444,-11,2377
101,130,-1325
1155,2421,-3732
1226,71,-2488
-19,1314,-81
-2433,-2,-110
-2410,1218,-10
